date,category,event,detail,source,url
2024-03-15,management,CEO transition,"Joe Vernachio (COO since Jun 2021) named CEO effective 2024-03-15; co-founder Joey Zwillinger steps down as CEO, stays on Board / special advisor",Allbirds IR press release,https://ir.allbirds.com/news-releases/news-release-details/allbirds-names-coo-and-industry-veteran-joe-vernachio-chief
2024-08-30,capital structure,Reverse split announced,"Board approves 1-for-20 reverse stock split for Nasdaq minimum-bid compliance",8-K FY2024 (acc 0001653909-24-000064),https://www.sec.gov/Archives/edgar/data/0001653909/000165390924000064/rsspressrelease.htm
2024-09-04,capital structure,Reverse split effective,"1-for-20 reverse split effective 5pm ET 2024-09-04; trades post-split 2024-09-05 under BIRD; new CUSIP 01675A208",Allbirds IR / 8-K,https://ir.allbirds.com/news-releases/news-release-details/allbirds-announces-1-20-reverse-stock-split
2025-05-08,earnings,Q1 2025 results,"Net revenue -18.3% YoY to $32.1M; declines from intl distributor transitions + store closures",8-K Q1 2025 (acc 0001653909-25-000023),https://www.sec.gov/Archives/edgar/data/0001653909/000165390925000023/allbirdsq12025earningsrele.htm
2025-06-30,financing,ABL credit agreement + shelf,"Entered Credit Agreement (Second Avenue Capital Partners LLC, agent); filed S-3 shelf (File 333-288434); TD Securities ATM established",8-K 2025-07-01; S-3 2025-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001653909&type=S-3
2025-08-07,earnings/guidance,Q2 2025 results + guidance cut,"Net revenue -23.1% YoY to $39.7M; FY25 guidance lowered (to ~$165-180M from $175-195M)",8-K Q2 2025 (acc 0001653909-25-000049),https://www.sec.gov/Archives/edgar/data/0001653909/000165390925000049/allbirdsq22025earningsrele.htm
2025-09-04,nasdaq,Reverse-split anniversary 8-K,"Form 8-K filed (Item per index); see filing list",8-K (acc 0001653909-25-000081),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001653909
2025-11-06,earnings/guidance,Q3 2025 results + guidance cut,"Net revenue -23.3% YoY to $33.0M; FY25 revenue guidance cut to ~$161-166M; cited $23-25M impact from distributor transitions + US store closures",8-K Q3 2025 (acc 0001628280-25-050181),https://www.sec.gov/Archives/edgar/data/0001653909/000162828025050181/allbirdsq32025earningsrele.htm
2026-01-28,restructuring,US store closures announced,"Will close all remaining full-price US stores by end of Feb 2026; keep 2 US outlets + 2 London full-price; capital-light turnaround framing (CEO Vernachio)",8-K 2026-01-28 (acc 0001628280-26-003900),https://www.sec.gov/Archives/edgar/data/0001653909/000162828026003900/exhibit991january282026.htm
2026-03-19,M&A,Kroll engaged for fairness opinion,"Company executes engagement letter with Duff & Phelps Opinion Practice of Kroll LLC for asset-sale fairness opinion",DEFM14A 2026-05-08,https://www.sec.gov/Archives/edgar/data/1653909/000119312526213226/d39753ddefm14a.htm
2026-03-27,M&A,Kroll opinion delivered,"Duff & Phelps/Kroll delivers fairness opinion referencing $1.34 per share",DEFM14A 2026-05-08,https://www.sec.gov/Archives/edgar/data/1653909/000119312526213226/d39753ddefm14a.htm
2026-03-29,M&A,Asset Purchase Agreement signed,"APA with Allbirds IP LLC (affiliate of American Exchange Group / AXNY); est. transaction value $39M; sells brand + IP + certain assets/liabilities",10-K & 8-K 2026-03-31; DEFM14A,https://www.sec.gov/Archives/edgar/data/1653909/000162828026022181/allbirdsprojectarisepressr.htm
